word,ENT,Musculoskeletal,Respiratory
alveolocapillary,0.0,0.0,11.0
alveolus,0.0,0.0,3.0
alvéperthes,0.0,1.0,0.0
always,1.0,5.0,9.0
amantadine,0.0,0.0,1.0
amber,1.0,0.0,0.0
ambulate,1.0,0.0,0.0
ambulation,2.0,4.0,3.0
ameliorate,0.0,1.0,0.0
america,0.0,0.0,1.0
american,1.0,1.0,9.0
americans,0.0,1.0,1.0
aminoglycoside,0.0,0.0,1.0
aminotransferase,0.0,0.0,4.0
amiodarone,0.0,0.0,1.0
ammonia,0.0,0.0,1.0
amnesia,0.0,0.0,1.0
amniocentesis,0.0,0.0,1.0
amniotic,0.0,0.0,1.0
among,1.0,4.0,8.0
amount,8.0,8.0,22.0
amounts,1.0,5.0,6.0
amoxicillin,3.0,0.0,0.0
amoxicillinclavulanate,3.0,0.0,0.0
amphiarthroses,0.0,1.0,0.0
ampicillin,2.0,0.0,1.0
ample,1.0,0.0,0.0
amplifying,1.0,0.0,0.0
amputation,0.0,2.0,0.0
amylase,0.0,0.0,2.0
amyloidosis,0.0,2.0,1.0
amyotrophic,0.0,0.0,1.0
an,99.0,91.0,134.0
anaerobes,2.0,0.0,2.0
anaerobic,2.0,0.0,3.0
anal,0.0,0.0,4.0
analgesic,0.0,2.0,2.0
analgesics,12.0,23.0,4.0
analysis,0.0,1.0,19.0
analysisde,0.0,0.0,1.0
analyzed,0.0,0.0,3.0
anastomosis,0.0,1.0,0.0
anatomic,2.0,0.0,1.0
ancer,0.0,0.0,1.0
anchovies,0.0,1.0,0.0
ancillary,0.0,1.0,0.0
and,783.0,1129.0,1345.0
andor,1.0,0.0,0.0
anemia,3.0,3.0,5.0
anemias,1.0,0.0,0.0
aneous,0.0,0.0,1.0
anesthesia,1.0,0.0,1.0
anesthesiologist,0.0,0.0,1.0
anesthetic,5.0,4.0,1.0
anesthetics,0.0,1.0,1.0
aneurysm,1.0,0.0,1.0
angi,2.0,0.0,0.0
anginal,0.0,0.0,1.0
angiofibroma,6.0,0.0,0.0
angiofibromas,1.0,0.0,0.0
angiographer,0.0,0.0,1.0
angiographic,0.0,0.0,1.0
angiography,1.0,0.0,4.0
angiotensinconverting,0.0,0.0,2.0
angle,0.0,11.0,0.0
angles,0.0,0.0,1.0
angular,0.0,3.0,0.0
angulation,0.0,1.0,0.0
anhydrase,0.0,0.0,1.0
animal,0.0,1.0,0.0
ankets,0.0,0.0,1.0
ankle,0.0,8.0,1.0
ankleand,0.0,1.0,0.0
ankles,0.0,2.0,1.0
ankylosis,0.0,4.0,0.0
annals,0.0,1.0,1.0
announced,0.0,0.0,1.0
annual,0.0,0.0,6.0
anomalies,1.0,2.0,1.0
anomaly,0.0,2.0,0.0
anorexia,0.0,0.0,7.0
anorexic,0.0,0.0,1.0
anosmia,1.0,0.0,0.0
another,7.0,12.0,6.0
anoxia,2.0,0.0,0.0
ansa,1.0,0.0,0.0
answer,3.0,0.0,1.0
ant,0.0,0.0,2.0
antacids,1.0,0.0,1.0
antagonists,0.0,0.0,1.0
antepartum,0.0,0.0,1.0
anterior,9.0,7.0,1.0
anteriorly,0.0,1.0,1.0
anteriorpos,1.0,1.0,0.0
anteriorposterior,1.0,0.0,0.0
anteropos,0.0,2.0,1.0
anthracite,0.0,0.0,2.0
anthracosilicosis,0.0,0.0,1.0
anthracosis,0.0,0.0,1.0
antiarrhythmic,0.0,0.0,1.0
antibiotic,39.0,3.0,9.0
antibioticresistant,0.0,0.0,1.0
antibiotics,28.0,2.0,22.0
antibioticsnot,0.0,0.0,1.0
antibioticsoaked,0.0,1.0,0.0
antibioticsusually,0.0,0.0,1.0
antibodies,1.0,0.0,4.0
antibody,0.0,0.0,2.0
anticholinergic,0.0,1.0,1.0
anticholinergics,1.0,0.0,0.0
anticipate,2.0,0.0,1.0
anticipated,0.0,1.0,0.0
anticoagulant,4.0,0.0,6.0
anticoagulants,0.0,0.0,2.0
anticoagulantsand,0.0,0.0,1.0
anticoagulation,0.0,0.0,1.0
antiembolism,0.0,2.0,0.0
antiemetic,1.0,0.0,0.0
antiemetics,7.0,1.0,0.0
antihistamines,8.0,0.0,0.0
antiinfective,0.0,0.0,1.0
antiinflammatory,0.0,6.0,1.0
antiinflammatoryantibiotic,1.0,0.0,0.0
antimicrobial,1.0,1.0,3.0
antimicrobials,0.0,0.0,2.0
antinuclear,0.0,0.0,1.0
antipruritic,1.0,1.0,0.0
antipyretics,1.0,0.0,4.0
antiseptic,1.0,0.0,0.0
antispasmodic,0.0,1.0,0.0
antitubercular,0.0,0.0,2.0
antitussives,0.0,0.0,1.0
antiviral,0.0,0.0,1.0
antral,1.0,0.0,0.0
antrum,3.0,0.0,0.0
anulus,0.0,5.0,0.0
anxiety,0.0,4.0,14.0
anxious,0.0,0.0,4.0
any,27.0,39.0,26.0
anyone,1.0,0.0,1.0
anything,1.0,2.0,0.0
anywhere,2.0,0.0,0.0
aorta,0.0,1.0,0.0
aortic,1.0,0.0,1.0
apex,0.0,1.0,1.0
aphonia,1.0,0.0,0.0
apices,0.0,0.0,1.0
apne,1.0,0.0,0.0
apnea,1.0,0.0,6.0
apneic,0.0,0.0,2.0
apneustic,0.0,0.0,6.0
apoph,0.0,1.0,0.0
appar,2.0,1.0,0.0
apparatus,1.0,2.0,2.0
apparent,0.0,7.0,4.0
appe,1.0,0.0,2.0
appear,5.0,4.0,7.0
appearance,2.0,10.0,8.0
appearing,0.0,1.0,0.0
appears,2.0,5.0,2.0
appetite,0.0,0.0,2.0
appl,1.0,0.0,0.0
appliance,0.0,4.0,0.0
appliances,0.0,2.0,0.0
applicable,0.0,1.0,0.0
application,8.0,17.0,1.0
applications,1.0,3.0,0.0
applicator,1.0,0.0,0.0
applicators,2.0,0.0,0.0
applied,3.0,4.0,1.0
apply,13.0,9.0,4.0
applying,1.0,2.0,0.0
apprehension,0.0,0.0,2.0
apprehensive,2.0,0.0,0.0
approach,1.0,0.0,1.0
approaching,1.0,0.0,0.0
appropriate,10.0,6.0,17.0
appropriately,0.0,0.0,1.0
approximately,1.0,3.0,3.0
approximation,1.0,0.0,0.0
april,0.0,0.0,3.0
apriljune,0.0,0.0,1.0
aqueduct,1.0,0.0,0.0
ar,2.0,1.0,2.0
arakawa,0.0,0.0,1.0
arc,0.0,1.0,0.0
arch,0.0,3.0,0.0
arched,1.0,0.0,0.0
archives,0.0,0.0,1.0
arcthat,0.0,1.0,0.0
ard,0.0,1.0,0.0
ards,0.0,0.0,17.0
ardsin,0.0,0.0,1.0
are,80.0,116.0,112.0
area,9.0,14.0,14.0
areas,6.0,11.0,20.0
arent,4.0,2.0,3.0
arf,0.0,0.0,15.0
arise,2.0,0.0,2.0
arises,1.0,2.0,0.0
arising,3.0,0.0,0.0
arm,1.0,10.0,0.0
arms,0.0,7.0,1.0
arnoldchiari,0.0,1.0,0.0
around,5.0,13.0,11.0
arousal,0.0,0.0,2.0
aroused,0.0,0.0,1.0
arrange,1.0,2.0,2.0
arranged,0.0,1.0,0.0
arrest,0.0,1.0,7.0
arrested,0.0,1.0,0.0
arrests,0.0,0.0,1.0
arrhythmias,0.0,1.0,15.0
arriving,0.0,1.0,0.0
arterial,1.0,0.0,17.0
arteries,0.0,1.0,5.0
arteriography,1.0,0.0,0.0
arteriolar,0.0,1.0,0.0
arterioles,0.0,0.0,1.0
arteriosclerosis,1.0,0.0,0.0
arteriosclerotic,0.0,0.0,1.0
arteriosus,0.0,0.0,1.0
artery,1.0,1.0,20.0
arthralgia,0.0,1.0,2.0
arthritic,0.0,3.0,0.0
arthritis,0.0,33.0,4.0
arthrocentesis,0.0,2.0,0.0
arthrodesis,0.0,3.0,0.0
arthrography,0.0,2.0,0.0
arthrogryposis,0.0,1.0,0.0
arthropathy,0.0,13.0,0.0
arthroplasty,0.0,2.0,0.0
arthroscopy,0.0,2.0,0.0
arthrosis,0.0,5.0,0.0
article,0.0,1.0,0.0
articular,0.0,17.0,0.0
articulating,0.0,2.0,0.0
artificial,0.0,1.0,3.0
arty,1.0,0.0,0.0
arytenoid,2.0,0.0,0.0
arytenoidectomy,3.0,0.0,0.0
arytenoids,0.0,0.0,1.0
as,141.0,181.0,266.0
asbestos,0.0,0.0,12.0
asbestosactivated,0.0,0.0,1.0
asbestosexposed,0.0,0.0,1.0
asbestosis,0.0,0.0,11.0
asbestosrelated,0.0,0.0,1.0
ascending,0.0,1.0,0.0
ascent,1.0,0.0,0.0
ascites,0.0,0.0,4.0
aseptic,0.0,1.0,0.0
ashen,0.0,0.0,1.0
ask,4.0,7.0,7.0
aspartate,0.0,0.0,2.0
aspect,0.0,5.0,0.0
aspergillus,1.0,0.0,0.0
asphyxia,1.0,0.0,1.0
aspirate,0.0,0.0,1.0
aspirated,0.0,0.0,1.0
aspirating,0.0,1.0,0.0
aspiration,11.0,13.0,18.0
aspirationchest,0.0,0.0,1.0
aspirin,10.0,0.0,2.0
assays,0.0,3.0,0.0
assemblyline,0.0,1.0,0.0
assess,7.0,13.0,15.0
assessed,1.0,0.0,0.0
assesses,0.0,0.0,2.0
assessing,0.0,0.0,2.0
assessment,7.0,3.0,7.0
assign,0.0,0.0,1.0
assigned,0.0,0.0,1.0
assist,3.0,10.0,5.0
assistance,2.0,2.0,2.0
assisted,0.0,0.0,3.0
assistive,0.0,1.0,0.0
associated,16.0,19.0,20.0
association,1.0,1.0,3.0
assume,2.0,0.0,1.0
assumes,0.0,2.0,0.0
assurance,0.0,1.0,0.0
assure,0.0,1.0,0.0
asterixis,0.0,0.0,1.0
asthma,2.0,0.0,10.0
astragalectomy,0.0,1.0,0.0
astringent,1.0,0.0,0.0
asymmetrical,0.0,2.0,1.0
asymmetry,0.0,2.0,0.0
asymptomatic,5.0,7.0,7.0
asynchronies,0.0,0.0,1.0
at,38.0,85.0,75.0
ataxic,0.0,0.0,1.0
atch,1.0,0.0,0.0
ateleactactic,0.0,0.0,1.0
atelectasis,0.0,0.0,33.0
atelectatic,0.0,0.0,1.0
ateral,0.0,2.0,0.0
atherosclerotic,0.0,1.0,0.0
atmosphere,0.0,0.0,5.0
atmospheric,0.0,0.0,5.0
atp,0.0,0.0,3.0
atrial,0.0,0.0,8.0
atrium,1.0,0.0,2.0
atrophic,0.0,1.0,0.0
atrophy,4.0,13.0,1.0
atropine,1.0,0.0,0.0
attach,0.0,1.0,0.0
attached,2.0,2.0,1.0
attaches,0.0,1.0,0.0
attachment,0.0,1.0,0.0
attachments,0.0,1.0,0.0
attack,9.0,9.0,3.0
attacks,9.0,19.0,0.0
attempt,0.0,1.0,1.0
attempts,0.0,2.0,0.0
attendance,0.0,0.0,1.0
attending,1.0,0.0,0.0
attends,0.0,1.0,0.0
attention,4.0,2.0,2.0
attitudes,0.0,1.0,0.0
attracts,0.0,0.0,1.0
attributed,0.0,0.0,2.0
atypical,2.0,0.0,2.0
audi,1.0,0.0,0.0
audible,0.0,0.0,1.0
audiologic,1.0,0.0,0.0
audiological,1.0,0.0,0.0
audiologist,1.0,0.0,0.0
audiology,1.0,0.0,0.0
audiometer,3.0,0.0,0.0
audiometric,6.0,0.0,0.0
audiometry,5.0,0.0,0.0
auditory,6.0,0.0,0.0
auditoryevoked,1.0,0.0,0.0
augmentation,2.0,0.0,0.0
augmented,0.0,0.0,1.0
august,0.0,0.0,1.0
aural,3.0,0.0,0.0
aureus,2.0,1.0,0.0
auricle,10.0,0.0,0.0
auscultate,0.0,0.0,3.0
auscultation,0.0,0.0,14.0
auscultationde,0.0,0.0,1.0
auses,0.0,3.0,0.0
australia,0.0,1.0,0.0
australian,0.0,1.0,0.0
aut,1.0,0.0,0.0
autoimmune,0.0,0.0,3.0
autoimmunity,1.0,0.0,0.0
automatic,0.0,0.0,1.0
autonomic,1.0,1.0,0.0
autopsies,0.0,0.0,1.0
autopsy,0.0,0.0,9.0
autosomal,4.0,3.0,0.0
availability,0.0,0.0,3.0
available,1.0,3.0,8.0
avascular,0.0,4.0,1.0
average,2.0,2.0,1.0
avoid,14.0,23.0,22.0
avoidance,1.0,2.0,1.0
avoided,2.0,1.0,0.0
avoiding,9.0,1.0,6.0
avulsion,2.0,1.0,0.0
await,0.0,0.0,1.0
awake,1.0,1.0,0.0
awaken,0.0,0.0,1.0
aware,3.0,1.0,1.0
away,3.0,3.0,2.0
awkward,0.0,2.0,0.0
axial,0.0,1.0,0.0
axillary,0.0,0.0,2.0
axis,0.0,4.0,3.0
axons,1.0,0.0,0.0
ay,2.0,2.0,1.0
azathioprine,0.0,0.0,1.0
azithromycin,1.0,0.0,1.0
b,2.0,4.0,5.0
babies,0.0,0.0,1.0
baby,1.0,1.0,2.0
babysitter,0.0,0.0,1.0
bac,1.0,1.0,0.0
bacilli,0.0,0.0,5.0
bacillus,0.0,0.0,6.0
bacitracin,1.0,0.0,0.0
back,4.0,23.0,4.0
backache,0.0,4.0,0.0
backdo,0.0,1.0,0.0
backs,0.0,0.0,2.0
backstrengthening,0.0,1.0,0.0
backward,1.0,0.0,0.0
baclofen,0.0,1.0,0.0
bacteremia,1.0,1.0,3.0
bacteria,16.0,4.0,9.0
bacteriafree,1.0,0.0,0.0
bacterial,27.0,4.0,18.0
bactericidal,0.0,1.0,0.0
bacteriology,0.0,0.0,1.0
bacterium,0.0,0.0,1.0
bag,2.0,0.0,5.0
balance,7.0,5.0,3.0
balanced,0.0,1.0,4.0
balkan,0.0,1.0,0.0
ball,1.0,0.0,0.0
ballandsocket,0.0,1.0,0.0
balloon,1.0,0.0,1.0
balls,0.0,1.0,0.0
bar,0.0,1.0,0.0
barbiturates,0.0,0.0,1.0
barking,0.0,0.0,1.0
barotitis,2.0,0.0,0.0
barotrauma,2.0,0.0,2.0
barrel,0.0,1.0,2.0
barrier,0.0,0.0,1.0
bars,0.0,1.0,0.0
base,3.0,1.0,0.0
based,3.0,1.0,2.0
baseline,0.0,1.0,0.0
basement,0.0,0.0,1.0
bases,1.0,1.0,2.0
basic,0.0,0.0,1.0
basilar,1.0,0.0,2.0
basin,2.0,0.0,0.0
basis,0.0,0.0,1.0
bat,0.0,0.0,1.0
bathe,0.0,1.0,0.0
bathing,1.0,4.0,0.0
bathroom,1.0,2.0,1.0
baths,0.0,0.0,1.0
be,134.0,169.0,200.0
bear,0.0,2.0,0.0
bearing,0.0,8.0,0.0
beats,0.0,0.0,1.0
because,30.0,40.0,44.0
becker,0.0,8.0,0.0
beclomethasone,0.0,0.0,1.0
become,7.0,10.0,8.0
becomes,5.0,13.0,9.0
becoming,2.0,0.0,3.0
bed,12.0,34.0,18.0
bedcovers,0.0,1.0,0.0
bedding,0.0,0.0,2.0
bedpan,0.0,3.0,0.0
bedridden,0.0,4.0,3.0
bedroom,0.0,1.0,0.0
beds,0.0,0.0,2.0
bedside,2.0,0.0,1.0
bedtime,0.0,0.0,2.0
been,9.0,15.0,23.0
beer,0.0,3.0,0.0
before,22.0,32.0,22.0
beforehand,0.0,1.0,0.0
begging,0.0,1.0,0.0
begin,3.0,12.0,3.0
beginning,1.0,2.0,4.0
begins,7.0,9.0,11.0
begun,0.0,3.0,0.0
behavior,1.0,1.0,2.0
behavioralmislearning,1.0,0.0,0.0
behind,7.0,1.0,0.0
being,2.0,3.0,2.0
believe,0.0,0.0,1.0
believed,0.0,3.0,0.0
bellows,0.0,0.0,1.0
below,4.0,6.0,9.0
belownormal,0.0,0.0,1.0
bending,3.0,6.0,0.0
bends,0.0,2.0,0.0
beneath,0.0,4.0,2.0
beneficial,2.0,1.0,1.0
benefit,2.0,4.0,1.0
benign,14.0,5.0,1.0
benzodiazepines,1.0,0.0,0.0
best,1.0,4.0,6.0
betaadrenergic,0.0,0.0,1.0
betaagonist,0.0,0.0,1.0
betahemolytic,8.0,0.0,0.0
betalactamaseproducing,2.0,0.0,0.0
better,3.0,3.0,2.0
between,18.0,32.0,15.0
beverages,0.0,3.0,0.0
beyond,1.0,1.0,1.0
bg,0.0,0.0,1.0
bhattacharya,0.0,0.0,1.0
bi,2.0,0.0,5.0
bicans,0.0,1.0,0.0
bicarbonate,0.0,1.0,6.0
bicarbonateincreased,0.0,0.0,1.0
bifida,0.0,2.0,0.0
bilateral,14.0,6.0,8.0
bilaterally,0.0,2.0,1.0
bilevel,0.0,0.0,1.0
bilirubin,2.0,0.0,0.0
binds,0.0,1.0,0.0
bioassays,0.0,2.0,0.0
biochemical,0.0,1.0,0.0
biologic,0.0,1.0,0.0
biomechanical,0.0,1.0,0.0
biomed,0.0,0.0,1.0
biopsies,0.0,1.0,2.0
biopsy,3.0,7.0,11.0
biopsynoncaseating,0.0,0.0,1.0
biots,0.0,0.0,1.0
birth,4.0,11.0,6.0
births,0.0,1.0,0.0
bisphosphonates,0.0,2.0,0.0
bites,0.0,1.0,0.0
bits,0.0,1.0,0.0
bizarre,0.0,0.0,1.0
bl,0.0,1.0,2.0
black,1.0,1.0,1.0
blacks,0.0,0.0,1.0
blackshypertrophy,1.0,0.0,0.0
bladder,0.0,2.0,0.0
blade,1.0,0.0,1.0
blame,0.0,0.0,1.0
blanching,0.0,1.0,0.0
blanket,0.0,0.0,2.0
blankets,0.0,0.0,2.0
blasters,0.0,0.0,1.0
bleb,1.0,0.0,0.0
blebs,5.0,0.0,1.0
bleed,0.0,0.0,1.0
bleeding,54.0,8.0,12.0
bleeds,1.0,0.0,0.0
bleomycin,0.0,0.0,1.0
blind,0.0,0.0,1.0
blindness,0.0,2.0,1.0
block,1.0,0.0,5.0
blockade,2.0,0.0,0.0
blockage,2.0,0.0,1.0
blockers,1.0,1.0,2.0
blocking,0.0,0.0,1.0
blocks,0.0,2.0,1.0
blood,44.0,42.0,80.0
bloodborne,0.0,1.0,0.0
bloods,0.0,6.0,2.0
bloodstreaked,0.0,0.0,1.0
bloodt,0.0,0.0,1.0
bloody,1.0,0.0,7.0
blotting,1.0,0.0,0.0
blow,6.0,1.0,0.0
blowing,5.0,0.0,0.0
